,Confirmed,Country/Region,Deaths,Date,region,Recovered,Suspected,Time,Latitude,Longitude,Y,M,D,date_new
0,27100.0,Mainland China,780.0,2020-02-09,Hubei,1480.0,0.0,11:13:28,31.15172525,112.87832224656043,2020,02,09,09-02-2020
1,1131.0,Mainland China,1.0,2020-02-09,Guangdong,141.0,0.0,15:03:05,23.1357694,113.1982688,2020,02,09,09-02-2020
2,1075.0,Mainland China,0.0,2020-02-09,Zhejiang,201.0,0.0,12:03:04,29.0000001,119.9999999,2020,02,09,09-02-2020
3,1033.0,Mainland China,6.0,2020-02-09,Henan,153.0,0.0,11:23:08,34.0000001,113.9999999,2020,02,09,09-02-2020
4,838.0,Mainland China,1.0,2020-02-09,Hunan,186.0,0.0,12:33:01,27.9995878,112.009538,2020,02,09,09-02-2020
5,779.0,Mainland China,1.0,2020-02-09,Anhui,72.0,0.0,09:33:02,32.0,117.0,2020,02,09,09-02-2020
6,740.0,Mainland China,0.0,2020-02-09,Jiangxi,73.0,0.0,11:33:12,28.0,116.0,2020,02,09,09-02-2020
7,468.0,Mainland China,0.0,2020-02-09,Jiangsu,71.0,0.0,10:23:11,33.0000001,119.9999999,2020,02,09,09-02-2020
8,450.0,Mainland China,2.0,2020-02-09,Chongqing,50.0,0.0,12:13:14,29.5585712,106.5492822,2020,02,09,09-02-2020
9,444.0,Mainland China,1.0,2020-02-09,Shandong,63.0,0.0,15:03:05,36.0000001,118.9999999,2020,02,09,09-02-2020
10,386.0,Mainland China,1.0,2020-02-09,Sichuan,71.0,0.0,12:43:01,30.5000001,102.4999999,2020,02,09,09-02-2020
11,326.0,Mainland China,2.0,2020-02-09,Beijing,37.0,0.0,03:43:02,39.906217,116.3912757,2020,02,09,09-02-2020
12,307.0,Mainland China,6.0,2020-02-09,Heilongjiang,14.0,0.0,08:43:05,48.0000047,127.999992,2020,02,09,09-02-2020
13,293.0,Mainland China,1.0,2020-02-09,Shanghai,44.0,0.0,06:33:01,31.2322758,121.4692071,2020,02,09,09-02-2020
14,250.0,Mainland China,0.0,2020-02-09,Fujian,35.0,0.0,09:13:11,26.5450001,117.842778,2020,02,09,09-02-2020
15,208.0,Mainland China,0.0,2020-02-09,Shaanxi,25.0,0.0,03:03:09,36.0,109.0,2020,02,09,09-02-2020
16,206.0,Mainland China,2.0,2020-02-09,Hebei,34.0,0.0,12:43:01,39.0000001,116.0,2020,02,09,09-02-2020
17,195.0,Mainland China,1.0,2020-02-09,Guangxi,18.0,0.0,00:33:07,24.0,109.0,2020,02,09,09-02-2020
18,141.0,Mainland China,0.0,2020-02-09,Yunnan,18.0,0.0,08:53:02,25.0,102.0,2020,02,09,09-02-2020
19,131.0,Mainland China,3.0,2020-02-09,Hainan,19.0,0.0,13:33:02,19.2000001,109.5999999,2020,02,09,09-02-2020
20,115.0,Mainland China,0.0,2020-02-09,Shanxi,22.0,0.0,09:03:04,37.0,112.0,2020,02,09,09-02-2020
21,107.0,Mainland China,0.0,2020-02-09,Liaoning,12.0,0.0,12:23:03,40.9975197,122.9955469,2020,02,09,09-02-2020
22,99.0,Mainland China,1.0,2020-02-09,Guizhou,7.0,0.0,09:53:02,27.0,107.0,2020,02,09,09-02-2020
23,90.0,Mainland China,1.0,2020-02-09,Tianjin,4.0,0.0,04:03:07,39.1235635,117.1980785,2020,02,09,09-02-2020
24,79.0,Mainland China,1.0,2020-02-09,Gansu,15.0,0.0,11:13:28,38.0000001,101.9999999,2020,02,09,09-02-2020
25,78.0,Mainland China,1.0,2020-02-09,Jilin,12.0,0.0,09:03:04,42.9995032,125.9816054,2020,02,09,09-02-2020
26,64.0,Others,0.0,2020-02-09,Diamond Princess cruise ship,0.0,0.0,06:13:11,35.4498,139.6649,2020,02,09,09-02-2020
27,54.0,Mainland China,0.0,2020-02-09,Inner Mongolia,5.0,0.0,02:23:07,43.2443242,114.3251664,2020,02,09,09-02-2020
28,45.0,Mainland China,0.0,2020-02-09,Ningxia,13.0,0.0,02:03:11,37.0000001,105.9999999,2020,02,09,09-02-2020
29,45.0,Mainland China,0.0,2020-02-09,Xinjiang,0.0,0.0,01:23:08,41.7574769,87.16738423046897,2020,02,09,09-02-2020
30,40.0,Singapore,0.0,2020-02-09,Singapore,2.0,0.0,02:43:02,1.357107,103.8194992,2020,02,09,09-02-2020
31,32.0,Thailand,0.0,2020-02-08,Thailand,10.0,0.0,12:53:01,14.8971921,100.83273,2020,02,08,08-02-2020
32,29.0,Hong Kong,1.0,2020-02-09,Hong Kong,0.0,0.0,09:53:02,22.2793278,114.1628131,2020,02,09,09-02-2020
33,26.0,Japan,0.0,2020-02-09,Japan,1.0,0.0,06:13:11,36.5748441,139.2394179,2020,02,09,09-02-2020
34,25.0,South Korea,0.0,2020-02-09,South Korea,3.0,0.0,02:33:02,36.638392,127.6961188,2020,02,09,09-02-2020
35,18.0,Mainland China,0.0,2020-02-06,Qinghai,3.0,0.0,02:13:15,35.40709525,95.95211573241954,2020,02,06,06-02-2020
36,18.0,Taiwan,0.0,2020-02-09,Taiwan,1.0,0.0,09:13:11,23.9739374,120.9820179,2020,02,09,09-02-2020
37,16.0,Malaysia,0.0,2020-02-08,Malaysia,1.0,0.0,10:23:04,4.5693754,102.2656823,2020,02,08,08-02-2020
38,14.0,Germany,0.0,2020-02-09,Germany,0.0,0.0,06:13:11,51.0834196,10.4234469,2020,02,09,09-02-2020
39,13.0,Vietnam,0.0,2020-02-08,Vietnam,1.0,0.0,07:23:04,13.2904027,108.4265113,2020,02,08,08-02-2020
40,11.0,France,0.0,2020-02-08,France,0.0,0.0,09:53:01,46.603354,1.8883335,2020,02,08,08-02-2020
41,10.0,Macau,0.0,2020-02-06,Macau,1.0,0.0,14:23:04,22.1757605,113.5514142,2020,02,06,06-02-2020
42,7.0,United Arab Emirates,0.0,2020-02-08,United Arab Emirates,0.0,0.0,07:03:16,24.0002488,53.9994829,2020,02,08,08-02-2020
43,5.0,Australia,0.0,2020-02-07,Queensland,0.0,0.0,01:03:02,-22.1646782,144.5844903,2020,02,07,07-02-2020
44,4.0,Australia,0.0,2020-02-06,New South Wales,2.0,0.0,03:13:22,-31.8759835,147.2869493,2020,02,06,06-02-2020
45,4.0,Australia,0.0,2020-02-01,Victoria,0.0,0.0,18:12:49,-36.5986096,144.6780052,2020,02,01,01-02-2020
46,4.0,Canada,0.0,2020-02-07,British Columbia,0.0,0.0,05:43:03,55.001251,-125.002441,2020,02,07,07-02-2020
47,3.0,India,0.0,2020-02-03,India,0.0,0.0,21:43:02,22.3511148,78.6677428,2020,02,03,03-02-2020
48,3.0,Italy,0.0,2020-02-07,Italy,0.0,0.0,17:53:02,42.6384261,12.674297,2020,02,07,07-02-2020
49,3.0,Philippines,1.0,2020-02-07,Philippines,0.0,0.0,16:43:04,12.7503486,122.7312101,2020,02,07,07-02-2020
50,3.0,UK,0.0,2020-02-07,UK,0.0,0.0,18:33:02,54.7023545,-3.2765753,2020,02,07,07-02-2020
51,2.0,Australia,0.0,2020-02-02,South Australia,0.0,0.0,22:33:07,-30.5343665,135.6301212,2020,02,02,02-02-2020
52,2.0,Canada,0.0,2020-02-04,"Toronto, ON",0.0,0.0,00:13:06,43.653963,-79.387207,2020,02,04,04-02-2020
53,2.0,Russia,0.0,2020-01-31,Russia,0.0,0.0,16:13:45,64.6863136,97.7453061,2020,01,31,31-01-2020
54,2.0,US,0.0,2020-02-01,"Chicago, IL",0.0,0.0,19:43:03,41.8755616,-87.6244212,2020,02,01,01-02-2020
55,2.0,US,0.0,2020-02-03,"San Benito, CA",0.0,0.0,03:53:02,36.6248089,-121.1177379,2020,02,03,03-02-2020
56,2.0,US,0.0,2020-02-03,"Santa Clara, CA",0.0,0.0,00:43:02,37.2333253,-121.6846349,2020,02,03,03-02-2020
57,1.0,Belgium,0.0,2020-02-04,Belgium,0.0,0.0,15:43:02,50.6402809,4.6667145,2020,02,04,04-02-2020
58,1.0,Cambodia,0.0,2020-01-31,Cambodia,0.0,0.0,08:15:53,13.5066394,104.869423,2020,01,31,31-01-2020
59,1.0,Canada,0.0,2020-02-04,"London, ON",0.0,0.0,00:03:11,42.9836747,-81.2496068,2020,02,04,04-02-2020
60,1.0,Finland,0.0,2020-01-31,Finland,0.0,0.0,08:15:53,63.2467777,25.9209164,2020,01,31,31-01-2020
61,1.0,Mainland China,0.0,2020-02-01,Tibet,0.0,0.0,01:52:40,31.894343149999997,87.07813712706509,2020,02,01,01-02-2020
62,1.0,Nepal,0.0,2020-01-31,Nepal,0.0,0.0,08:15:53,28.1083929,84.0917139,2020,01,31,31-01-2020
63,1.0,Spain,0.0,2020-02-01,Spain,0.0,0.0,23:43:02,39.3262345,-4.8380649,2020,02,01,01-02-2020
64,1.0,Sri Lanka,0.0,2020-02-08,Sri Lanka,1.0,0.0,03:43:03,7.5554942,80.7137847,2020,02,08,08-02-2020
65,1.0,Sweden,0.0,2020-02-01,Sweden,0.0,0.0,02:13:26,59.6749712,14.5208584,2020,02,01,01-02-2020
66,1.0,US,0.0,2020-02-01,"Boston, MA",0.0,0.0,19:43:03,42.3602534,-71.0582912,2020,02,01,01-02-2020
67,1.0,US,0.0,2020-02-01,"Los Angeles, CA",0.0,0.0,19:53:03,34.0536909,-118.2427666,2020,02,01,01-02-2020
68,1.0,US,0.0,2020-02-05,"Madison, WI",0.0,0.0,21:53:02,43.074761,-89.3837613,2020,02,05,05-02-2020
69,1.0,US,0.0,2020-02-01,"Orange, CA",0.0,0.0,19:53:03,45.8413676,-74.2168946,2020,02,01,01-02-2020
70,1.0,US,0.0,2020-02-09,"Seattle, WA",1.0,0.0,07:03:04,47.6038321,-122.3300624,2020,02,09,09-02-2020
71,1.0,US,0.0,2020-02-01,"Tempe, AZ",0.0,0.0,19:43:03,33.4255056,-111.9400125,2020,02,01,01-02-2020
72,5806.0,Mainland China,204.0,1-30-20,Hubei,116.0,0.0,21:30,31.15172525,112.87832224656043,2020,01,30,30-01-2020
73,537.0,Mainland China,0.0,1-30-20,Zhejiang,9.0,0.0,21:30,29.0000001,119.9999999,2020,01,30,30-01-2020
74,393.0,Mainland China,0.0,1-30-20,Guangdong,11.0,0.0,21:30,23.1357694,113.1982688,2020,01,30,30-01-2020
75,352.0,Mainland China,2.0,1-30-20,Henan,3.0,0.0,21:30,34.0000001,113.9999999,2020,01,30,30-01-2020
76,332.0,Mainland China,0.0,1-30-20,Hunan,2.0,0.0,21:30,27.9995878,112.009538,2020,01,30,30-01-2020
77,240.0,Mainland China,0.0,1-30-20,Jiangxi,7.0,0.0,21:30,28.0,116.0,2020,01,30,30-01-2020
78,237.0,Mainland China,0.0,1-30-20,Anhui,3.0,0.0,21:30,32.0,117.0,2020,01,30,30-01-2020
79,206.0,Mainland China,0.0,1-30-20,Chongqing,1.0,0.0,21:30,29.5585712,106.5492822,2020,01,30,30-01-2020
80,178.0,Mainland China,0.0,1-30-20,Shandong,2.0,0.0,21:30,36.0000001,118.9999999,2020,01,30,30-01-2020
81,177.0,Mainland China,1.0,1-30-20,Sichuan,1.0,0.0,21:30,30.5000001,102.4999999,2020,01,30,30-01-2020
82,168.0,Mainland China,0.0,1-30-20,Jiangsu,2.0,0.0,21:30,33.0000001,119.9999999,2020,01,30,30-01-2020
83,128.0,Mainland China,1.0,1-30-20,Shanghai,9.0,0.0,21:30,31.2322758,121.4692071,2020,01,30,30-01-2020
84,121.0,Mainland China,1.0,1-30-20,Beijing,5.0,0.0,21:30,39.906217,116.3912757,2020,01,30,30-01-2020
